WARNING 2025-04-10 11:19:51,784 log 101615 140155734193728 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:19:51,786 basehttp 101615 140155734193728 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:51,844 log 101615 140155654501952 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:19:51,845 basehttp 101615 140155654501952 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:51,900 log 101615 140155637716544 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:19:51,903 basehttp 101615 140155637716544 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,077 log 101615 140155637716544 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:52,080 log 101615 140155654501952 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:19:52,081 basehttp 101615 140155637716544 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,082 basehttp 101615 140155654501952 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,113 log 101615 140155629323840 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:52,114 basehttp 101615 140155629323840 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:52,149 log 101615 140155629323840 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:19:52,150 basehttp 101615 140155629323840 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2025-04-10 11:19:57,210 basehttp 101615 140155620931136 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2025-04-10 11:19:57,253 log 101615 140155620931136 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:19:57,255 basehttp 101615 140155620931136 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,282 log 101615 140155654501952 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:19:57,285 log 101615 140155620931136 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:19:57,291 basehttp 101615 140155620931136 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,292 basehttp 101615 140155654501952 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,303 log 101615 140155734193728 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:19:57,306 basehttp 101615 140155734193728 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,317 log 101615 140155637716544 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:19:57,319 basehttp 101615 140155637716544 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,580 log 101615 140155620931136 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:57,582 log 101615 140155637716544 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:19:57,586 basehttp 101615 140155620931136 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,587 basehttp 101615 140155637716544 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,634 log 101615 140155646109248 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:19:57,636 basehttp 101615 140155646109248 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:19:57,647 log 101615 140155629323840 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:19:57,663 basehttp 101615 140155629323840 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
INFO 2025-04-10 11:20:11,081 autoreload 102288 139703766290432 Watching for file changes with StatReloader
INFO 2025-04-10 11:20:16,819 basehttp 102288 139703609194048 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2025-04-10 11:20:16,900 log 102288 139703609194048 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:20:16,901 basehttp 102288 139703609194048 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:16,905 log 102288 139703600801344 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:20:16,906 basehttp 102288 139703600801344 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:16,974 log 102288 139703592408640 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:20:16,975 basehttp 102288 139703592408640 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:17,209 log 102288 139703584015936 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:20:17,243 log 102288 139703575623232 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:20:17,277 log 102288 139703592408640 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:20:17,281 log 102288 139703600801344 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:20:17,292 basehttp 102288 139703584015936 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:17,292 basehttp 102288 139703575623232 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:17,293 basehttp 102288 139703592408640 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:17,295 basehttp 102288 139703600801344 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:18,075 log 102288 139703600801344 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:20:18,079 log 102288 139703584015936 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:20:18,080 basehttp 102288 139703600801344 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:20:18,084 basehttp 102288 139703584015936 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2025-04-10 11:22:09,545 autoreload 102288 139703766290432 /home/ismael/bulk-sms-reseller/bulk_sms/bulk_sms/settings.py changed, reloading.
INFO 2025-04-10 11:22:12,281 autoreload 103101 140003213795328 Watching for file changes with StatReloader
INFO 2025-04-10 11:22:35,262 autoreload 103267 140266597720064 Watching for file changes with StatReloader
INFO 2025-04-10 11:22:49,604 basehttp 103267 140266447042112 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2025-04-10 11:22:49,651 log 103267 140266438649408 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:22:49,654 log 103267 140266447042112 Not Found: /static/admin/css/nav_sidebar.css
